,name,elo
1,Gonzaga,1839.536516783695
2,Illinois,1797.8671248193652
3,Houston,1797.4666580171552
4,Alabama,1791.9105488713046
5,Baylor,1779.511634901067
6,Michigan,1777.5483375627084
7,San Diego St,1772.2184235822228
8,Colorado,1758.2480009632297
9,Loyola-Chicago,1757.8704452368988
10,Arkansas,1754.4464591072583
11,USC,1738.3667681209
12,Oklahoma St,1736.645908352552
13,Drake,1734.328377508863
14,UC Santa Barbara,1726.8758212456605
15,Ohio St,1725.7766051693488
16,Texas,1725.2405035994377
17,UNC Greensboro,1725.021723420884
18,Winthrop,1724.4499371774498
19,Belmont,1722.560610639036
20,VCU,1719.4895319093603
21,BYU,1715.7308101413207
22,Oregon,1712.2159659059278
23,St Bonaventure,1706.6142177359525
24,Iowa,1705.2310565242403
25,Virginia,1700.699340319212
26,Louisiana Tech,1699.8300358875222
27,WKU,1698.240152758457
28,Creighton,1698.0362275436999
29,Villanova,1697.2736365550522
30,LSU,1692.6271203307072
31,Florida St,1690.7964680049488
32,Abilene Chr,1687.9900567752468
33,Kansas,1686.2702296585176
34,Morehead St,1686.0658145263135
35,UAB,1683.0184898506216
36,Georgia Tech,1682.352232979522
37,Colgate,1681.8419196275702
38,Utah St,1681.2752777770415
39,Clemson,1676.6081414470368
40,Wichita St,1674.4868175130143
41,Navy,1671.8900352370397
42,Liberty,1670.6884204171763
43,Toledo,1670.6134097369518
44,Georgia St,1663.9332775852033
45,North Carolina,1663.2896115501128
46,Tennessee,1661.1365754307317
47,Missouri,1660.0598431728079
48,Boise St,1659.3453864096703
49,Purdue,1655.294176673088
50,West Virginia,1655.1613028421064
51,Cleveland St,1653.2334413752533
52,Southern Utah,1652.995059321024
53,Colorado St,1644.3180746543708
54,Ohio,1643.6698120677847
55,Wright St,1643.3325572163103
56,Chattanooga,1643.0676446513162
57,E Kentucky,1642.82805496982
58,North Texas,1635.193045335227
59,Louisiana,1630.8132221944597
60,Grand Canyon,1628.7236674560886
61,Virginia Tech,1627.061302528872
62,Bryant,1626.0187756208215
63,Syracuse,1625.4076347587072
64,Wofford,1625.2479789638355
65,Memphis,1622.937545800063
66,Connecticut,1622.6724340883459
67,UMBC,1621.6768502536172
68,UCLA,1621.2410076975789
69,Richmond,1618.5508553198142
70,Old Dominion,1618.2003885345018
71,Weber St,1616.7814031895443
72,Texas St,1613.4745044314511
73,Arizona,1613.243485873753
74,Dayton,1612.8873815450295
75,E Washington,1612.078897469311
76,Iona,1611.7721332286958
77,Marshall,1611.2303834493223
78,Norfolk St,1610.0309771179127
79,Furman,1609.1329782528073
80,St Louis,1608.301583985829
81,Coastal Car,1607.9592983258044
82,Louisville,1607.912634012095
83,Nevada,1607.165306074099
84,Xavier,1606.3576023564856
85,UC Irvine,1606.2350215850965
86,Mercer,1605.6472515250948
87,St John's,1605.1271793659141
88,Appalachian St,1605.0754063718277
89,Akron,1602.8618574968175
90,SMU,1601.3448273840481
91,Texas Tech,1599.6785197227439
92,Buffalo,1599.5903192236328
93,Oregon St,1597.202121946838
94,Florida,1594.5160919875323
95,S Dakota St,1593.5852083908906
96,SF Austin,1593.079430393883
97,Hartford,1591.911536311096
98,Drexel,1591.832574258077
99,James Madison,1591.4776625687387
100,Siena,1591.3490184904106
101,Missouri St,1587.4906023812246
102,Mississippi,1586.2771632851843
103,Rutgers,1583.4941715638022
104,South Alabama,1582.6094324182573
105,Kent,1580.88945443155
106,Wagner,1579.7537242146786
107,Maryland,1578.7503130032876
108,Oklahoma,1578.5224092963651
109,St Mary's CA,1574.7741452061464
110,Sam Houston St,1574.3561170492521
111,UC Riverside,1571.538073467366
112,Prairie View,1569.7893330530853
113,TX Southern,1568.7115950049135
114,Davidson,1568.2440841518373
115,Georgetown,1567.6875832553446
116,Monmouth NJ,1566.2596016099524
117,Army,1565.1509795304892
