date,win_team,lose_team
11/25/2020,Abilene Chr,ETSU
11/25/2020,Mt St Mary's,Morgan St
11/25/2020,Navy,G Washington
11/25/2020,Xavier,Oakland
11/25/2020,Kennesaw,Carver Bib
11/25/2020,W Carolina,UNC Wilmington
11/25/2020,Houston,Lamar
11/25/2020,Alabama,Jacksonville St
11/25/2020,Arkansas,MS Valley St
11/25/2020,Bradley,Toledo
11/25/2020,Butler,W Michigan
11/25/2020,Georgia St,Georgia Tech
11/25/2020,Indiana,Tennessee Tech
11/25/2020,Drake,Kansas St
11/25/2020,Marquette,Ark Pine Bluff
11/25/2020,Maryland,Old Dominion
11/25/2020,Missouri,Oral Roberts
11/25/2020,North Carolina,Col Charleston
11/25/2020,IL Chicago,N Illinois
11/25/2020,Providence,Fairfield
11/25/2020,Appalachian St,S Carolina St
11/25/2020,TCU,Houston Bap
11/25/2020,Texas,UTRGV
11/25/2020,Texas Tech,Northwestern LA
11/25/2020,UAB,Alcorn St
11/25/2020,USC,Cal Baptist
11/25/2020,Oklahoma St,UT Arlington
11/25/2020,Virginia Tech,Radford
11/25/2020,Weber St,Adams St
11/25/2020,Wisconsin,E Illinois
11/25/2020,Pacific,UC Riverside
11/25/2020,Santa Clara,Idaho St
11/25/2020,Kentucky,Morehead St
11/25/2020,Purdue,Liberty
11/25/2020,Villanova,Boston College
11/25/2020,FL Gulf Coast,Florida A&M
11/25/2020,Clemson,Mississippi St
11/25/2020,Austin Peay,NE Omaha
11/25/2020,Memphis,St Mary's CA
11/25/2020,CS Sacramento,Bethesda
11/25/2020,Elon,NC Wesleyan
11/25/2020,Connecticut,Central Conn
11/25/2020,Davidson,High Point
11/25/2020,South Alabama,FL Atlantic
11/25/2020,Grand Canyon,Grambling
11/25/2020,Missouri KC,Culver-Stockton
11/25/2020,Illinois,NC A&T
11/25/2020,PFW,SE Louisiana
11/25/2020,Iowa,NC Central
11/25/2020,Mercer,North Georgia
11/25/2020,Montana St,UNLV
11/25/2020,Texas St,M Hardin-Baylor
11/25/2020,Washington St,TX Southern
11/25/2020,Wake Forest,Delaware St
11/25/2020,Pepperdine,UC Irvine
11/25/2020,San Diego St,UCLA
11/25/2020,Loy Marymount,Southern Utah
11/25/2020,NC State,Charleston So
11/25/2020,CS Northridge,Westmont
11/25/2020,S Wesleyan,SC Upstate
11/25/2020,Nicholls St,UC Davis
11/25/2020,Furman,Tusculum
11/25/2020,Tarleton St,Dallas Chr
11/25/2020,Citadel,Piedmont
11/25/2020,Colorado,South Dakota
11/25/2020,Michigan St,E Michigan
11/25/2020,Louisville,Evansville
11/25/2020,Quinnipiac,F Dickinson
11/25/2020,Georgetown,UMBC
11/25/2020,Ga Southern,Florida National
11/25/2020,TAM C. Christi,Texas A&M Intl
11/25/2020,Ohio St,Illinois St
11/25/2020,Ark Little Rock,Prairie View
11/25/2020,Miami OH,North Dakota
11/25/2020,Michigan,Bowling Green
11/25/2020,Minnesota,WI Green Bay
11/25/2020,N Kentucky,Ball St
11/25/2020,North Alabama,Oakwood
11/25/2020,WKU,Northern Iowa
11/25/2020,St Francis PA,Pittsburgh
11/25/2020,St John's,St Peter's
11/25/2020,St Louis,SIUE
11/25/2020,SMU,Sam Houston St
11/25/2020,UTEP,Permian Basin
11/25/2020,VMI,St Andrew's
11/25/2020,Nebraska,McNeese St
11/25/2020,South Florida,Florida Col
11/25/2020,James Madison,Limestone
11/25/2020,New Hampshire,Keene St
11/25/2020,Virginia,Towson
11/25/2020,Nevada,N Dakota St
11/25/2020,MA Lowell,San Francisco
11/25/2020,E Kentucky,North Florida
11/25/2020,Fresno St,Wm Jessup
11/25/2020,Wofford,Toccoa Falls
11/25/2020,Ohio,Chicago St
11/25/2020,Jacksonville,Coastal GA
11/25/2020,Arizona St,Rhode Island
11/25/2020,West Virginia,S Dakota St
11/25/2020,BYU,Westminster UT
11/25/2020,VCU,Utah St
11/25/2020,Oregon St,California
11/25/2020,Army,Merchant Marine
11/25/2020,Florida Intl,Flagler
11/25/2020,Rutgers,Sacred Heart
11/25/2020,Chattanooga,Lander
11/25/2020,Seattle,Portland
11/26/2020,Xavier,Bradley
11/26/2020,Toledo,Oakland
11/26/2020,St John's,La Salle
11/26/2020,Auburn,St Joseph's PA
11/26/2020,Belmont,Howard
11/26/2020,Gonzaga,Kansas
11/26/2020,BYU,New Orleans
11/26/2020,Ohio,NC A&T
11/26/2020,NC Central,Southern Univ
11/26/2020,LSU,SIUE
11/26/2020,North Texas,MS Valley St
11/26/2020,NE Omaha,MTSU
11/26/2020,Illinois,Chicago St
11/26/2020,Nevada,Nebraska
11/26/2020,Austin Peay,ETSU
11/26/2020,San Francisco,Towson
11/26/2020,WKU,Memphis
11/26/2020,George Mason,Queens NC
11/26/2020,St Mary's CA,Northern Iowa
11/26/2020,Liberty,Mississippi St
11/26/2020,Boston College,Rhode Island
11/26/2020,Clemson,Purdue
11/26/2020,Villanova,Arizona St
11/26/2020,West Virginia,VCU
11/26/2020,S Dakota St,Utah St
11/26/2020,Utah Valley,Adams St
11/26/2020,California,Northwest WA
11/27/2020,Xavier,Toledo
11/27/2020,Troy,W Carolina
11/27/2020,Belmont,George Mason
11/27/2020,UNC Wilmington,UNC Asheville
11/27/2020,Mercer,Georgia Tech
11/27/2020,Jacksonville St,FL Atlantic
11/27/2020,Norfolk St,James Madison
11/27/2020,Louisiana Tech,UT Arlington
11/27/2020,Louisville,Seton Hall
11/27/2020,Marquette,E Illinois
11/27/2020,Bradley,Oakland
11/27/2020,Texas Tech,Sam Houston St
11/27/2020,Nicholls St,Idaho St
11/27/2020,Colorado,Kansas St
11/27/2020,Richmond,Morehead St
11/27/2020,Gonzaga,Auburn
11/27/2020,Kansas,St Joseph's PA
11/27/2020,Connecticut,Hartford
11/27/2020,Georgia St,Toccoa Falls
11/27/2020,Iowa,Southern Univ
11/27/2020,South Alabama,Mobile
11/27/2020,Tulane,Lamar
