,name,elo
1,Gonzaga,2781.4088803059594
2,Houston,2618.521658056575
3,Baylor,2591.7288298467456
4,Alabama,2568.518115438105
5,Loyola-Chicago,2548.305052761439
6,Illinois,2547.662043026165
7,Michigan,2538.7369404188303
8,USC,2499.5891429652247
9,San Diego St,2470.8409690115454
10,Arkansas,2466.05148448502
11,Florida St,2426.9979785418586
12,Colorado,2420.161939181495
13,Oregon,2392.296066889693
14,Drake,2392.1931734482155
15,Creighton,2391.577444147712
16,Belmont,2352.8928243151227
17,Oklahoma St,2344.4044597377456
18,Villanova,2326.250425999362
19,Winthrop,2302.4706924066377
20,Abilene Chr,2285.924906284609
21,UNC Greensboro,2283.5710206944377
22,Texas,2283.24196479347
23,UC Santa Barbara,2268.820210861069
24,Louisiana Tech,2267.079589616426
25,Morehead St,2226.342973223425
26,WKU,2201.842879907005
27,Ohio St,2185.265320877486
28,St Bonaventure,2177.1649480621295
29,VCU,2176.4755219839835
30,Georgia St,2151.474684719257
31,Southern Utah,2132.2929615262938
32,Colorado St,2117.846787345511
33,Virginia,2114.7555100453105
34,UCLA,2112.668413803958
35,LSU,2111.8507634272723
36,UAB,2109.145545145516
37,Iowa,2108.7719588524296
38,Kansas,2107.4638008536253
39,Toledo,2099.773831948768
40,Clemson,2099.6382385035754
41,Georgia Tech,2098.4215724522483
42,Boise St,2091.2388510150727
43,Navy,2086.6968365144335
44,Missouri,2068.1145120151864
45,E Kentucky,2061.9112251789556
46,BYU,2060.6539921009776
47,Wofford,2045.9094866861576
48,Ohio,2042.516601754062
49,Colgate,2038.9835490552543
50,Chattanooga,2038.28683247232
51,Utah St,2033.7296813970815
52,Coastal Car,2033.1342455056733
53,Wright St,2032.2968656961555
54,Tennessee,2031.1761331756936
55,Syracuse,2021.6145202147304
56,Liberty,2004.490225538702
57,Wichita St,2001.2784630485996
58,Oregon St,1996.060316989831
59,Cleveland St,1993.185176935077
60,Old Dominion,1990.885971484668
61,North Texas,1982.0382038129637
62,Louisiana,1982.013072456361
63,North Carolina,1975.8757006092644
64,West Virginia,1967.6497296865923
65,Norfolk St,1961.0485443565408
66,UMBC,1960.077310136394
67,Akron,1955.674752783262
68,Virginia Tech,1946.1898516569925
69,Xavier,1939.7517499788582
70,Marshall,1933.372086813398
71,Weber St,1928.586118958846
72,Memphis,1922.262492022189
73,Grand Canyon,1913.6394436737226
74,Richmond,1907.375484210615
75,Bryant,1904.5957654691201
76,Texas St,1901.3352509835659
77,UC Irvine,1900.485091677069
78,S Dakota St,1900.053130845758
79,Appalachian St,1883.4935612558481
80,SF Austin,1876.0174067949165
81,Furman,1874.098112486654
82,Purdue,1862.007064636429
83,Dayton,1861.6882777628769
84,Oral Roberts,1851.1735081525123
85,James Madison,1850.5899796317115
86,Siena,1849.3349248155628
87,St John's,1847.8129063200902
88,Louisville,1844.6162408626246
89,South Alabama,1843.433320316571
90,Iona,1831.4350914867268
91,Nevada,1826.239938749039
92,E Washington,1823.2563638843287
93,Mercer,1812.2700893605736
94,St Louis,1795.574232110505
95,Prairie View,1790.9552584982964
96,FL Gulf Coast,1782.2471894234086
97,Wagner,1781.211985131954
98,Monmouth NJ,1774.7062752235495
99,Buffalo,1773.3657768260675
100,Drexel,1768.762488918207
101,VMI,1768.5286026888505
102,Texas Tech,1766.0229029477819
103,Sam Houston St,1764.933413708373
104,Arizona,1752.3670503990547
105,Connecticut,1749.8640922988318
106,Oklahoma,1734.0973355094375
107,Florida,1727.9895433934128
108,SMU,1724.8928938167187
109,Marist,1723.1547493840749
110,St Peter's,1718.5408804068022
111,UC Riverside,1717.4122086999855
112,Hartford,1712.8099203780198
113,TX Southern,1710.5780531922387
114,Santa Clara,1707.032273842734
115,Kent,1705.6902299616106
116,Youngstown St,1703.247476514311
117,Bellarmine,1689.222991586031
118,Mississippi,1682.2251820449403
119,Bowling Green,1680.8779448886776
120,Vermont,1667.0291407822797
121,Rutgers,1666.9489334177363
122,Maryland,1663.7529723454013
123,Canisius,1659.8440139689621
124,N Kentucky,1655.0767351962563
125,Hofstra,1651.1608557381944
126,Cal Baptist,1650.3861030540331
127,Morgan St,1644.886379116804
128,Lafayette,1635.0089980503772
129,Providence,1622.379241123897
130,Elon,1618.7854194068182
131,New Mexico St,1614.5770565265639
132,Army,1607.8241361252813
133,Missouri St,1607.2705085139337
134,Mt St Mary's,1606.0194819440455
135,Davidson,1595.2758326440016
136,New Hampshire,1591.2908931023208
137,UT San Antonio,1589.0804090472998
138,Seton Hall,1581.5367309357414
139,Indiana St,1581.3247492111007
140,Montana,1579.3284619912533
141,Seattle,1573.2397669612678
142,Lipscomb,1568.1302291685317
143,Belmont Abbey,1542.7077020144482
144,Stanford,1541.4878538547823
145,ETSU,1539.6317970995747
146,South Dakota,1537.3287304827716
147,Loy Marymount,1535.1531229191687
148,Northeastern,1535.0848378654841
149,Fort Hays St,1535.0547292820027
150,NC State,1532.4159854820243
151,Mississippi St,1531.150139685612
152,Utah Valley,1530.962041516907
153,Tulsa,1521.776445008603
154,Cincinnati,1520.2582748554958
155,NW Nazarene,1519.1632411114829
156,CS Bakersfield,1515.8168074842097
157,Detroit,1513.5273150250173
158,Pepperdine,1503.5953431915093
159,St Mary's CA,1499.4641956766604
160,Montana St,1497.0671506123545
161,Jackson St,1483.275125454427
162,Georgetown,1479.9059902975398
163,FL Atlantic,1470.0123941587874
164,Campbell,1468.1235383038625
165,Delaware,1467.3716534721998
166,WV Tech,1463.2578084257934
167,Minnesota,1461.5589064230167
168,Sacred Heart,1459.86784080217
169,Idaho St,1455.0675434910686
170,Jacksonville St,1452.2452699603523
171,Nicholls St,1451.2628352546615
172,Tarleton St,1449.3262753528031
173,Edward Waters,1448.5623123403552
174,Coe,1447.9964684148572
175,Simpson CA,1444.885799217526
176,Emmanuel GA,1444.8578825338604
177,Paul Quinn,1444.122040032673
178,N Dakota St,1443.1150317222318
179,Mars Hill,1440.4671564657394
180,Columbus St,1437.9316235025804
181,Trevecca Naz,1437.0528376948416
182,Ga Southern,1433.4221119074207
183,St Francis NY,1432.4455973106649
184,Whitworth,1427.6441510633003
185,Dickinson St ND,1427.2198512282769
186,UC Davis,1424.6498820576821
187,St Louis Pharm,1422.4057260128614
188,E Texas Bap,1422.1589952147135
189,Radford,1419.7611682949773
190,Spring Hill,1419.5341232061653
191,Mt Aloysius,1418.175236613274
192,Mercyhurst,1417.4853518550665
193,MT Western,1417.0585545031097
194,Calvin,1415.2235467563175
195,La Sierra,1413.4702730157521
196,Duke,1411.151403789482
197,Lee TN,1411.1212557247998
198,Bacone,1410.694803844861
199,Rogers St,1410.658169222933
200,Dalton St,1410.6394547853606
201,Loyola NO,1409.9869027500042
202,Wisconsin,1408.4886885145804
203,Chowan,1407.728266002864
204,Concordia CA,1405.8057410096167
205,Doane,1405.4105665344755
206,Pittsburgh,1405.3407727582724
207,Emporia St,1403.175114165676
208,NE Oklahoma,1403.1225904244543
209,LSU Shreveport,1401.8722338217012
210,Belhaven MS,1400.2311100848053
211,Wm Jewell,1400.05
212,Culver-Stockton,1400.05
213,Hawaii Pacific,1400.05
214,CSU-Pueblo,1400.05
215,Arizona Chr,1400.05
216,Cedarville,1400.05
217,Colorado Chr,1400.05
218,Keene St,1400.05
219,Tusculum,1400.05
220,Truman St,1400.05
221,Oakwood,1400.05
222,Merchant Marine,1400.05
223,Lander,1400.05
224,Salem WV,1400.05
225,Malone,1397.9679633306894
226,George Fox,1396.6269090329536
227,RI College,1396.591868669517
228,Carlow,1394.3873703958939
229,Bethel TN,1392.8173443490527
230,St Mary's TX,1392.5322378388332
231,W New Mexico,1391.7564403867705
232,Rochester MI,1391.7305314480707
233,Webber,1391.5629663170007
234,Wingate,1391.3140287785634
235,Bluefield VA,1390.9775771169293
236,Hawaii Hilo,1389.599989945812
237,Bluefield WV,1388.7878078221613
238,Washburn,1387.4716481584126
239,Michigan St,1387.2186931640883
240,Midwest TX St,1386.8060437131794
241,VA Wesleyan,1385.962464660291
242,Newberry,1383.2881668946015
243,Catawba,1381.672052616287
244,Vanguard,1380.216576192535
245,Newman,1378.6121801214524
246,Hawaii,1378.5224244235546
247,George Mason,1372.9497972338863
248,Georgia,1371.7234856049015
249,S Virginia,1369.626986215329
250,Tuskegee,1369.1126418886358
251,SUNY Albany,1363.8540635637899
252,Missouri S&T,1363.2429152297632
253,Duquesne,1362.397607708669
254,SAGU Amer Ind,1357.9220391670785
255,Rust,1354.8992548743756
256,UT Arlington,1340.238989587506
257,Adrian,1339.0722202256618
258,St Martin's,1338.8351979208503
259,UCF,1338.8154774379148
260,Lincoln PA,1335.710532354007
261,UNC Asheville,1331.344651541857
262,Queens NC,1327.1232712720312
263,Arkansas St,1326.98307749813
264,MA Lowell,1325.8576240828322
265,Kansas Chr,1323.9242882489343
266,Central Bap,1321.7539162815328
267,Covenant,1319.884708143013
268,SW Adventist,1318.397632408358
269,Washington St,1317.6682789461408
270,CS Fullerton,1317.1193159699442
271,Judson IL,1316.6546680713689
272,Mt Marty,1314.714582582199
273,SW Christian,1313.4884573091044
274,FL Memorial,1312.366018345721
275,North Alabama,1310.6758821045812
276,Lancaster Bib,1310.5721893651207
277,Olivet MI,1309.1686447392103
278,Austin Peay,1305.2704729705094
279,S Wesleyan,1302.5696699597738
280,Freed-Hardeman,1300.9960511173222
281,St Ambrose,1298.3424735445342
282,Limestone,1296.923836869957
283,St Francis IL,1296.6822373546008
284,Auburn,1293.3047811869676
285,Hardin-Simmons,1292.8091009294496
286,Niagara,1291.6638633993816
287,M Hardin-Baylor,1288.7964189117195
288,Sul Ross,1287.882621533409
289,N Colorado,1287.2662251196923
290,Wm Carey,1286.8055437545931
291,Bucknell,1286.4202047876058
292,Permian Basin,1286.1001312081048
293,Adams St,1286.1001312081048
294,Texas A&M Intl,1279.1639018514502
295,Lewis,1279.1047162067975
296,Florida Col,1278.3206866086794
297,Piedmont,1277.373209953126
298,Regis CO,1277.1890037102246
299,Coastal GA,1276.7591338263355
300,Westmont,1276.2054776197065
301,Massachusetts,1272.473748684005
302,Quincy,1272.278788909609
303,UTEP,1265.2383670903455
304,IUPUI,1262.4246871136254
305,UTRGV,1262.2584878639916
306,UNC Wilmington,1257.5720580512784
307,Alice Lloyd,1255.6766568549926
308,McKendree,1252.4754241274602
